Ind,State,DISTRICT,STATION,Turbidity,pH,Color,DO,BOD,TDS,Hardness,Cl,No3,So4,Coliform,As,F
363,KERALA,PATHANAMTHITTA,KALLOOPPARA,,6.695,,6.53333333333333,0.868333333333333,40,20.0347166666667,9.33333333333333,0.010166666666667,1.4,1320,3.73,0.129016666666667
364,ASSAM,GOALPARA,DUDHNAI,11.5725,6.95,,7.4,,54,74.177025,17,0,1.2125,,,
365,"""UTTAR PRADESH""",VARANASI,"""V S Bridge""",,,,,,,,,,,,,
366,PONDICHERRY,PUDUCHERRY,Kumarapalayam,,,,,,,,,,,,,
367,KERALA,PALAKKAD,PUDUR,,7.45,,5.23333333333333,1.62833333333333,282.166666666667,160.083283333333,28.0333333333333,0.089166666666667,22.4666666666667,1460,3.245,0.713
368,ODISHA,SUNDARGARH,Jarikela,,7.71666666666667,,6.585,0.513333333333333,,77.6945666666667,14.1666666666667,0,11.6333333333333,,,0.05
369,ASSAM,SONITPUR,Bhomoraguri,,,,,,,,,,,,,
370,MAHARASHTRA,THANE,DURVESH,2.2,8.168,,9.1,2,387.8,122.7432,99,0.073333333333333,13.92,5000,,0.2
371,JHARKHAND,PALAMU,Japla,,8.22,,,,183.566666666667,161.033333333333,20.6666666666667,,10.1,,,
372,TAMILNADU,VILUPPURAM,Vazhavachanur,,7.92666666666667,,6.1985,1.735,464,227.398333333333,140.803333333333,,86.0683333333333,,,0.515833333333333
373,ASSAM,KARIMGANJ,ANIPUR,,,,,,,,,,,,,
374,KERALA,MALAPPURAM,KUMBIDI,,6.855,,6.53333333333333,1.02,75,39.2083333333333,11.8166666666667,0.071333333333333,1.41666666666667,1460,3.465,0.728833333333333
375,ASSAM,GOALPARA,PANCHARATNA,17.9325,7.3925,,5.63333333333333,,106,96.7585,12.5,0,1.2,,,
376,UTTARAKHAND,DEHRADUN,"""HARIDWAR D/S""",,,,,,,,,,,,,
377,BIHAR,,Triveni,,7.95166666666667,,6.79766666666667,2.0675,210.166666666667,218.4195,26.6666666666667,,13,,,
378,TAMILNADU,ERODE,ELUNUTHIMANGALAM,,8.6225,,5.85,3.75,,404.35,412.49,,115.3125,,,0.909
379,"""UTTAR PRADESH""","""SIDDHARTH NAGAR""",Biskohar,,,,,,,,,,,,,
380,GUJARAT,ANAND,Khanpur,28.6666666666667,8.38166666666667,,8.25,1.41666666666667,267.333333333333,173.48825,31.3333333333333,0.04,14.3741666666667,166931.428571429,,0.585
381,BIHAR,BHOJPUR,Koelwar,,8.31666666666667,,,,148.766666666667,126.58905,32.6666666666667,,6.5,,,
382,KARNATAKA,RAICHUR,Huvinhedigi,8.20909090909091,8.25454545454545,,6.37272727272727,1.05454545454545,480.181818181818,219.591,66.8545454545454,6.36363636363636E-05,93.2272727272727,4804.54545454546,2.36483333333333,0.800909090909091
383,"""UTTAR PRADESH""",KHERI,Paliakalan,,8.36333333333333,,6.95583333333333,0.899166666666667,201.166666666667,161.28175,14.0225,0.21045,17.56,,,0.18525
384,"""MADHYA PRADESH""",RATLAM,Mataji,11.1666666666667,8.11333333333333,,8.45,2.93333333333333,219,162.116666666667,22.3333333333333,0.031666666666667,9.93333333333333,164334.666666667,,0.518333333333333
385,"""MADHYA PRADESH""",CHHINDWARA,Ramakona,,,,,,,,,,,,,
386,"""UTTAR PRADESH""",JAUNPUR,JAUNPUR,,,,,,,,,,,,,
387,TAMILNADU,COIMBATORE,Gandhavayal,,,,,,,,,,,,,
388,"""UTTAR PRADESH""",HAMIRPUR,HAMIRPUR,,8.22833333333334,,,,,190.759916666667,67.9825,0.1311,42.68,,,0.391083333333333
389,TAMILNADU,THOOTHUKKUDI,MURAPPANADU,,7.43,,5.74166666666667,0.875,77.6,61.3631916666667,18.7158333333333,,5.31833333333333,,1.815,0.1565
390,"""MADHYA PRADESH""","""WEST NIMAR""",Mandleshwar,40.5083333333333,8.10083333333333,,6.49166666666667,0.908333333333333,146.083333333333,117.383916666667,14.5583333333333,0.029833333333333,8.73416666666667,,,0.185083333333333
391,"""MADHYA PRADESH""",DINDORI,Dindori,83.3416666666667,7.83666666666667,,5.58333333333333,1.53333333333333,143.583333333333,122.615166666667,9.53333333333333,0.110583333333333,10.3666666666667,,,0.20025
392,TRIPURA,"""NORTH TRIPURA""","""KAILASHAHAR GDSQ SITE""",,,,,,,,,,,,,
393,BIHAR,KATIHAR,LABHA,,,,,,,202.18875,15.9425,,16.76,,,
394,KERALA,KOZHIKODE,KUTTYADI,,6.91,,7.01666666666667,0.50351,17.8333333333333,13.0139,4.46666666666667,0,0.716666666666667,1240,4.565,0.0527
395,KARNATAKA,GULBARGA,Malkhed,4.35666666666667,8.16666666666667,,6.03333333333333,0.883333333333333,394.666666666667,182.777833333333,29.35,0,17.5166666666667,2966.66666666667,4.69305,0.706666666666667
396,"""ARUNACHAL PRADESH""","""UPPER SUBANSIRI""",Daporizo,,7.8,,,,73.75,60.5,1.75,,,,,
397,"""DAMAN & DIU""",DAMAN,PINGALWADA,2.91666666666667,7.47833333333333,,2.01818181818182,1.36416666666667,675.083333333334,124.712333333333,113.916666666667,0.102222222222222,14.35,15800,,0.235
398,MIZORAM,AIZAWL,Sairang,,,,,,,,,,,,,
399,"""WEST BENGAL""",BIRBHUM,"""Tilpara  Mihirlal Barrage""",,8.23333333333333,,,,,119.142333333333,15.7383333333333,,1.6,,,
400,TELANGANA,NALGONDA,Dameracherla,3.87909090909091,8.07272727272727,,6.02727272727273,1.25454545454545,635.818181818182,239.553090909091,132.336363636364,0,79.7636363636364,1630.90909090909,0.873333333333333,1.08727272727273
401,KARNATAKA,CHAMRAJNAGAR,BILIGUNDULU,,8.03083333333333,,6.28916666666667,0.946666666666666,,124.283333333333,28.9620833333333,0.023,10.244,,2.985,0.374818181818182
402,TRIPURA,"""WEST TRIPURA""",KHOWAI,,,,,,,,,,,,,
403,"""UTTAR PRADESH""",FARRUKHABAD,Fatehgarh,6.075,8.02,,6.90916666666667,1.5175,162.916666666667,172.370166666667,15.975,0.161,14.48,,,0.414833333333333
